t,A,V,P,M,U,health,state,score,audio_score,raw_distance,distance,motion_fraction,naive_fraction,fallback,server,physical_p,physical_m,physical_u
11.9,0,0,0,0,0,1,1,0,3.923009463886729,2.995555682088925,2.995555682088925,0.0,0.0,0,1,0,0,0
12.0,0,0,0,0,0,1,1,0,4.084798895428866,3.0014615431736753,3.0014615431736753,0.0,0.0,0,1,0,0,0
12.1,0,0,0,0,0,1,1,0,4.117087571074827,2.988188321563312,2.995555682088925,0.0,0.0,0,1,0,0,0
12.2,0,0,0,0,0,1,1,0,4.2336280426961705,2.98820587455591,2.995405762367229,0.0,0.0,0,1,0,0,0
12.3,0,0,0,0,0,1,1,0,3.839326427972512,2.990985773928498,2.990985773928498,0.0,0.0,0,1,0,0,0
12.4,0,0,0,0,0,1,1,0,3.7948489668840026,2.9875099716298577,2.98820587455591,0.0,0.0,0,1,0,0,0
12.5,0,0,0,0,0,1,1,0,3.9554617302036874,3.0069984956293316,2.98820587455591,0.0,0.0,0,1,0,0,0
12.6,0,0,0,0,0,1,1,0,4.226366389909693,2.9731393669364317,2.98820587455591,0.0,0.0,0,1,0,0,0
12.7,0,0,0,0,0,1,1,0,4.2410049012994335,3.023223300534368,2.990985773928498,0.0,0.0,0,1,0,0,0
12.8,0,0,0,0,0,1,1,0,3.8030304497789804,2.992456136424554,2.992456136424554,0.0,0.0,0,1,0,0,0
12.9,0,0,0,0,0,1,1,0,3.896257719596781,2.9999463150600323,2.9999463150600323,0.0,0.0,0,1,0,0,0
13.0,0,0,0,0,0,1,1,0,3.9762213204462533,3.0092315298002577,2.9999463150600323,0.0,0.0,0,1,0,0,0
13.1,0,0,0,0,0,1,1,0,4.085184632452214,2.988902525263718,2.9999463150600323,0.0,0.0,0,1,0,0,0
13.2,0,0,0,0,0,1,1,0,4.236578985463555,2.9871517530843126,2.992456136424554,0.0,0.0,0,1,0,0,0
13.3,0,0,0,0,0,1,1,0,4.14921840476466,2.9896603214784094,2.9896603214784094,0.0,0.0,0,1,0,0,0
13.4,0,0,0,0,0,1,1,0,4.32009666251057,2.9935392026323298,2.9896603214784094,0.0,0.0,0,1,0,0,0
13.5,0,0,0,0,0,1,1,0,4.215930023296682,2.996551799912724,2.9896603214784094,0.0,0.0,0,1,0,0,0
13.6,0,0,0,0,0,1,1,0,4.369237522664026,2.990406098889675,2.990406098889675,0.0,0.0,0,1,0,0,0
13.7,0,0,0,0,0,1,1,0,4.058946481452083,3.007959138991579,2.9935392026323298,0.0,0.0,0,1,0,0,0
13.8,0,0,0,0,0,1,1,0,4.202153715108904,2.9949277527427176,2.9949277527427176,0.0,0.0,0,1,0,0,0
13.9,0,0,0,0,0,1,1,0,4.494048186354558,3.042167243364954,2.996551799912724,0.0,0.0,0,1,0,0,0
14.0,0,0,0,0,0,1,1,0,3.984742205618929,2.9901916149085337,2.9949277527427176,0.0,0.0,0,1,0,0,0
14.1,0,0,0,0,0,1,1,0,4.153635913730292,2.973568125829018,2.9949277527427176,0.0,0.0,0,1,0,0,0
14.2,0,0,0,0,0,1,1,0,4.580140902641222,2.978090602416474,2.9901916149085337,0.0,0.0,0,1,0,0,0
14.3,0,0,0,0,0,1,1,0,4.010576087116777,3.026902483028621,2.9901916149085337,0.0,0.0,0,1,0,0,0
14.4,0,0,0,0,0,1,1,0,3.8743357293445473,2.98778034724588,2.98778034724588,0.0,0.0,0,1,0,0,0
14.5,0,0,0,0,0,1,1,0,4.02729621117345,2.999425368618234,2.98778034724588,0.0,0.0,0,1,0,0,0
14.6,0,0,0,0,0,1,1,0,3.872680429380455,2.979531620302777,2.98778034724588,0.0,0.0,0,1,0,0,0
14.7,0,0,0,0,0,1,1,0,4.369465035201461,2.986551973499248,2.98778034724588,0.0,0.0,0,1,0,0,0
14.8,0,0,0,0,0,1,1,0,4.041345065671286,3.0236446336059504,2.98778034724588,0.0,0.0,0,1,0,0,0
14.9,0,0,0,0,0,1,1,0,4.634218099872217,2.9787607247267447,2.986551973499248,0.0,0.0,0,1,0,0,0
15.0,0,0,0,0,0,1,1,0,3.838189015670829,2.9785218350877103,2.979531620302777,0.0,0.0,0,1,0,0,0
15.1,0,0,0,0,0,1,1,0,4.650795315108938,2.9730761770103507,2.9787607247267447,0.0,0.0,0,1,0,0,0
15.2,0,0,0,0,0,1,1,0,3.943663942816114,3.0317611734351955,2.9787607247267447,0.0,0.0,0,1,0,0,0
15.3,0,0,0,0,0,1,1,0,3.992409548845099,3.0098165347621446,2.9787607247267447,0.0,0.0,0,1,0,0,0
15.4,0,0,0,0,0,1,1,0,4.498897393793755,3.0261162652887097,3.0098165347621446,0.0,0.0,0,1,0,0,0
15.5,0,0,0,0,0,1,1,0,3.998424309212053,3.01718927921877,3.01718927921877,0.0,0.0,0,1,0,0,0
15.6,0,0,0,0,0,1,1,0,4.390081237176421,2.990477063998554,3.01718927921877,0.0,0.0,0,1,0,0,0
15.7,0,0,0,0,0,1,1,0,4.168537298317085,2.9963396117122416,3.0098165347621446,0.0,0.0,0,1,0,0,0
15.8,0,0,0,0,0,1,1,0,3.8352261846083007,3.015166197939645,3.015166197939645,0.0,0.0,0,1,0,0,0
15.9,0,0,0,0,0,1,1,0,4.10509685687442,3.015431241917262,3.015166197939645,0.0,0.0,0,1,0,0,0
16.0,0,0,0,0,0,1,1,0,4.184642602136644,3.0222205525836507,3.015166197939645,0.0,0.0,0,1,0,0,0
16.1,0,0,0,0,0,1,1,0,4.018236561377571,3.0288804676383854,3.015431241917262,0.0,0.0,0,1,0,0,0
16.2,0,0,0,0,0,1,1,0,3.9955355250234534,3.010666212934677,3.015431241917262,0.0,0.0,0,1,0,0,0
16.3,0,0,0,0,0,1,1,0,4.288714001476935,2.9933237151229317,3.015431241917262,0.0,0.0,0,1,0,0,0
16.4,0,0,0,0,0,1,1,0,3.6955650734602057,3.0400075357701692,3.0222205525836507,0.0,0.0,0,1,0,0,0
